Symbol,Date,Close,R3M,R6M,R9M,R12M,RS_Blend,MA_30W,MA_30W_Slope_10S_Pct,Stage,MA_10W,High_52W,Near_52W_High,Low_52W,Volume_Ratio,U_D,AvgValue20,SMA_50,Below_50DMA,Ext_Pct,Extended_20Pct,Pct_From_52W_High,Above_MA_30W,Above_MA_10W,MA10W_Above_MA30W,MA_30W_Rising,Distribution,Heavy_Distribution,Breakout,Breakout_Confirmed,SMA_150,SMA_200,SMA_200_Rising,ATR_Pct,VCP_Contractions,Contraction_Ratio,Base_Depth_Pct,Volume_DryUp,VCP_Setup,VCP_Pivot,RS_Line,RS_Line_High_52W,RS_Line_At_High,Pct_To_Pivot,RS_Score,Liquid_UI_Filter,RS_Not_Lagging,Trend_Health,TT1_Above_150_200,TT2_150_Above_200,TT3_200_Rising,TT4_50_Above_150_200,TT5_Above_50,TT6_Above_52W_Low,TT7_Near_52W_High,TT8_RS,Trend_Template_Score,Trend_Template_Pass,RS_Line_NH_Before_Price,Stage1_Readiness,Company Name,Industry,Series,ISIN Code,Action,Action_Reason
360ONE,2026-09-02,1181.300048828125,0.08455756682430904,0.10557137846690279,0.021719380097862118,0.1653009167469146,0.09234136179205951,1096.2366713432416,0.48762856723956194,Stage 2 — Advancing,1140.7745121974572,1229.0652744329707,False,900.8207868154223,0.584354498785552,0.4003501435229595,994462379.6473023,1141.592001953125,False,7.759581457957743,False,-3.8863050318366676,True,True,True,True,True,True,False,False,1097.150029703776,1108.3358584594725,True,2.5559012212345147,2,0.9275777349183326,13.271734858774664,0.766907299656247,False,1222.9000244140625,0.05086811276363797,0.051273315731198366,False,3.5215418493553363,61.0,True,True,5,True,False,True,True,True,True,True,False,6,False,False,,360 ONE WAM Ltd.,Financial Services,EQ,INE466L01038,REDUCE,Stage 2 + RS 61; distribution warning (U/D 0.40) triggers REDUCE.
3MINDIA,2026-09-01,33315.0,0.03800615052819878,-0.0988540413701462,-0.029226534410983995,0.07996422253824331,0.005579189562702133,33321.17529633621,0.06802111384467402,Stage 1 — Basing,34616.667853860294,37487.09942436396,False,28319.862583025053,0.6953138766009145,0.6418234149505432,141108970.25,34646.2987109375,True,-0.018532648627456183,False,-11.129427158753147,False,False,True,True,True,False,False,False,33329.858059895836,33630.83598632812,True,2.706845908106602,3,0.6724695513820711,14.561743559723498,0.7560266100765397,False,37300.0,1.427383983754349,1.5957972004548862,False,11.96157886837761,44.0,True,False,2,False,False,True,True,False,False,True,False,3,False,False,3.0,3M India Ltd.,Diversified,EQ,INE470A01017,AVOID,Stage 1 + RS 44; weak RS in a basing stage is AVOID.
ABB,2026-09-02,7447.5,0.05446056588847226,0.2645818856915969,0.4597709939079544,0.4696384959168518,0.2605825014586695,6764.3045303135705,2.3995805557845973,Stage 2 — Advancing,7295.304515165441,7832.294844565128,False,4564.870705303207,0.5002208151672773,1.0852789644655205,1258217767.575,7303.482001953125,False,10.100010527686255,False,-4.912925932967649,True,True,True,True,False,False,False,False,6729.533014322917,6299.496823730468,True,2.3795137390303553,2,0.7536901672607513,15.256478182662764,0.5040350921967038,False,7832.294844565128,0.32069775175495124,0.32689961302851106,False,5.166765284526731,80.0,True,True,5,True,True,True,True,True,True,True,True,8,True,False,,ABB India Ltd.,Capital Goods,EQ,INE117A01022,HOLD,Stage 2 + RS 80; trend/leadership is adequate without a stronger entry trigger.
ACC,2026-09-02,1266.5999755859375,-0.07005715624448527,-0.1798038135059984,-0.31209640474452527,-0.30080752250107445,-0.18656441064811374,1399.7670798105737,-1.6665980653541523,Stage 4 — Declining,1344.4823572495404,1975.569036609613,False,1244.4991052892974,0.8979956340543758,0.22769659752965696,166920549.50142822,1344.4320043945313,True,-9.51351879504534,False,-35.886827940995566,False,False,False,False,True,True,False,False,1406.321387532552,1495.0587951660157,False,1.6935104927505071,2,1.0700271598513524,11.386943717376367,0.7193969952103165,False,1413.9000244140625,0.05454122383931336,0.08036860726139042,False,11.629563529715291,9.0,True,False,0,False,False,False,False,False,False,False,False,0,False,False,,ACC Ltd.,Construction Materials,EQ,INE012A01025,SELL,Stage 4 takes precedence: the guide requires SELL regardless of RS.
ACMESOLAR,2026-09-02,398.25,0.18969380134428682,0.7145255815951728,0.7948532942248137,0.3878865625786345,0.4553306082174389,313.33362025430756,4.047204334018528,Stage 2 — Advancing,378.2813726686964,411.5,False,195.72747422084996,1.2158729845481577,2.28281917084289,752293344.5177581,378.66100036621094,False,27.10094744278404,True,-3.2199270959902826,True,True,True,True,False,False,False,False,310.80572041829424,289.7662966156006,True,4.241773680436451,2,0.665440503196739,16.233289864633964,1.5872528886873987,False,411.5,0.017149094278134856,0.017401937069613464,False,3.327055869428741,91.0,True,True,5,True,True,True,True,True,True,True,True,8,True,False,,ACME Solar Holdings Ltd.,Power,EQ,INE622W01025,WAIT,"Stage 2 + RS 91; wait because price is more than 20% above the 30-week line (currently +27%) — the guide treats that as poor entry timing, not a failed trend."
AIAENG,2026-09-01,4243.2001953125,-0.06179936496557625,0.10167205517897449,0.10095744474640633,0.3801177076328912,0.09182969552542392,4203.938629781789,0.6533446877890148,Stage 2 — Advancing,4621.943129595588,5180.0,False,3002.0,0.2868044658242509,0.7215848743043433,230382251.20197755,4616.659990234375,True,0.9339233749173115,False,-18.0849383144305,True,False,True,True,False,False,False,False,4195.503341471354,4108.182507324219,True,2.8036437236980296,3,0.873818008957011,19.74131462656853,0.3743595826154048,False,5180.0,0.18180027010813113,0.22097221935568148,False,22.077671605558248,61.0,True,True,4,True,True,True,True,False,True,True,False,6,False,False,,AIA Engineering Ltd.,Capital Goods,EQ,INE212H01026,HOLD,Stage 2 + RS 61; trend/leadership is adequate without a stronger entry trigger.
APLAPOLLO,2026-09-02,2210.0,0.24915219364331875,-0.005534828132056746,0.2740689675459469,0.33639720944171847,0.22064714722844922,1972.8342444014877,0.5441816324942117,Stage 2 — Advancing,1939.070592543658,2301.39990234375,False,1645.0999755859375,1.2508117770055125,1.3171498278370068,1334765513.4767334,1941.3280053710937,False,12.021575369118898,False,-3.9714915365499093,True,True,False,True,False,False,False,False,1975.6646638997395,1941.7959979248046,True,2.180672111092033,3,1.4726345942885377,23.18732221741932,1.0807325246525183,False,2278.39990234375,0.09516509316931081,0.09731586051187452,False,3.0950182055995423,78.0,True,True,4,True,True,True,False,True,True,True,True,7,False,False,,APL Apollo Tubes Ltd.,Capital Goods,EQ,INE702C01027,HOLD,Stage 2 + RS 78; trend/leadership is adequate without a stronger entry trigger.
ASKAUTOLTD,2026-09-02,623.8499755859375,0.42140789937905976,0.5649341960012653,0.26991217539451196,0.22854938278097037,0.38124231058697344,473.8895596020842,2.772938585424223,Stage 2 — Advancing,547.0614516314338,687.7000122070312,False,373.9332517882958,0.14845798273017055,2.3710920036900753,595431238.0063508,548.7943371582031,False,31.644591644891307,True,-9.284576921291631,True,True,True,True,False,False,False,False,473.2008333333333,472.2950430297852,True,3.7743745445896226,2,1.315829081266333,36.10673414799269,0.4545766165983375,False,687.7000122070312,0.026863683733171047,0.028605804607407824,False,10.234838361759003,88.0,True,True,5,True,True,True,True,True,True,True,True,8,True,False,,ASK Automotive Ltd.,Automobile and Auto Components,EQ,INE491J01022,WAIT,"Stage 2 + RS 88; wait because price is more than 20% above the 30-week line (currently +32%) — the guide treats that as poor entry timing, not a failed trend."
AUBANK,2026-09-02,1077.9000244140625,0.10496879238193246,0.13424108257340217,0.13209884188219423,0.523290753254747,0.19991365249484166,1004.606038132759,0.8044240062388353,Stage 2 — Advancing,1057.5439477060356,1144.0999755859375,False,681.4882278715522,0.45379089705443076,3.193339021822011,1845494721.1951904,1057.3715356445311,False,7.295793923111749,False,-5.786203354997143,True,True,True,True,False,False,False,False,1003.9095377604167,996.3300335693359,True,2.0072099025451724,1,1.0295169197839278,16.172656316329984,1.0318434291692247,False,1144.0999755859375,0.04641559106360482,0.04779853945760736,False,6.141566905322304,75.0,True,True,5,True,True,True,True,True,True,True,True,8,True,False,,AU Small Finance Bank Ltd.,Financial Services,EQ,INE949L01017,HOLD,Stage 2 + RS 75; trend/leadership is adequate without a stronger entry trigger.
AWL,2026-09-02,191.25,0.008387459905894845,0.0663323488244596,-0.2291537257053311,-0.25311167713784344,-0.07983162684138506,190.567999957359,-0.46502009543359923,Stage 3 — Topping,190.15392168830422,281.42985528309595,False,170.3003850027749,0.8095664178332882,1.7783659387583872,695607051.8927139,190.2952001953125,False,0.3578775254993394,False,-32.043457220408335,True,True,False,False,False,False,False,False,191.12585927327473,202.9544016265869,False,2.7350155557014473,2,1.091464304351335,12.362077150079669,1.4816399612616988,False,204.82000732421875,0.008235440755036513,0.011664737051174908,False,7.095428666258163,28.0,True,False,2,False,False,False,False,True,False,False,False,1,False,False,,AWL Agri Business Ltd.,Fast Moving Consumer Goods,EQ,INE699H01024,SELL,Stage 3 + RS 28; RS below 50 in Stage 3 triggers SELL.
AXISCADES,2026-09-01,1644.199951171875,-0.0714406751501182,0.16329412959610834,0.15382452713815797,0.2905808093970761,0.0929636231662212,1664.0657591101242,1.6882045111280553,Stage 1 — Basing,1600.8333381204045,2211.0,False,1063.300048828125,0.7817173765630469,0.8677974867710482,244201535.85701293,1596.01400390625,False,-1.1938114722625293,False,-25.635461276713023,False,True,False,True,False,False,False,False,1651.2893391927084,1574.8415045166016,True,4.00759497252808,2,0.38317325900840127,24.755580468334884,0.6537531402689257,False,1882.0,0.07044588552881337,0.09403153538512572,False,14.462964109604615,61.0,True,True,3,False,True,True,False,True,True,False,False,4,False,False,5.0,AXISCADES Technologies Ltd.,Capital Goods,EQ,INE555B01013,WATCH,Stage 1 + RS 61; adequate RS in a basing stage remains WATCH.
AADHARHFC,2026-09-01,476.45001220703125,0.020782029366965826,0.03813051429249281,-0.017223547434376818,-0.05061272011072804,0.002371661096263921,484.9472601903628,-0.07311072267570662,Stage 4 — Declining,503.89705822514554,563.0,False,430.1499938964844,0.6490906598596039,0.8193690517523989,172625306.25668946,504.06699951171873,True,-1.7522004310316142,False,-15.372999607987348,False,False,True,False,False,False,False,False,484.8006663004557,484.5874996948242,False,2.5088840587170944,3,0.4283686336446405,18.41918511670182,0.8027700631007949,False,563.0,0.020413540942034535,0.02384431524932254,False,18.165596720639865,43.0,True,False,1,False,True,False,True,False,False,True,False,3,False,False,,Aadhar Housing Finance Ltd.,Financial Services,EQ,INE883F01010,SELL,Stage 4 takes precedence: the guide requires SELL regardless of RS.
